country,life_expectancy
Afghanistan,31.94
Albania,62.87
Algeria,47.5
Angola,35.98
Antigua and Barbuda,62.97
Argentina,65.39
Armenia,66.86
Aruba,65.66
Australia,70.87
Austria,68.75
Azerbaijan,61.33
Bahamas,62.0
Bahrain,51.64
Bangladesh,46.2
Barbados,61.8
Belarus,71.59
Belgium,69.59
Belize,60.08
Benin,38.29
Bhutan,35.94
Bolivia,43.77
Bosnia and Herzegovina,62.56
Botswana,50.34
Brazil,55.27
Brunei,62.52
Bulgaria,69.22
Burkina Faso,35.21
Burundi,40.58
Cambodia,42.29
Cameroon,43.46
Canada,71.0
Cape Verde,50.12
Central African Republic,37.43
Chad,40.95
Channel Islands,70.74
Chile,56.85
China,30.53
Colombia,58.03
Comoros,44.04
"Congo, Dem. Rep.",43.9
"Congo, Rep.",48.25
Costa Rica,61.97
Cote d'Ivoire,38.0
Croatia,64.85
Cuba,63.85
Cyprus,69.72
Czech Republic,70.58
Denmark,72.28
Djibouti,45.77
Dominican Republic,53.37
Ecuador,54.09
Egypt,48.31
El Salvador,52.02
Equatorial Guinea,37.69
Eritrea,39.03
Estonia,69.42
Ethiopia,37.72
Fiji,55.7
Finland,69.03
France,70.49
French Guiana,57.68
French Polynesia,56.28
Gabon,38.83
Gambia,35.7
Georgia,63.5
Germany,69.26
Ghana,46.34
Greece,68.41
Greenland,61.49
Grenada,60.59
Guadeloupe,58.91
Guam,61.24
Guatemala,46.51
Guinea,35.71
Guinea-Bissau,43.14
Guyana,59.08
Haiti,42.1
Honduras,47.71
"Hong Kong, China",67.45
Hungary,68.13
Iceland,74.22
India,41.26
Indonesia,45.01
Iran,46.0
Iraq,46.96
Ireland,70.76
Israel,68.55
Italy,69.19
Jamaica,65.91
Japan,67.78
Jordan,53.3
Kazakhstan,58.91
Kenya,47.42
Kiribati,45.84
North Korea,50.9
South Korea,53.02
Kuwait,62.15
Kyrgyz Republic,56.09
Lao,42.13
Latvia,70.37
Lebanon,62.9
Lesotho,47.02
Liberia,35.24
Libya,44.59
Lithuania,70.33
Luxembourg,68.99
"Macao, China",64.93
"Macedonia, FYR",60.85
Madagascar,41.96
Malawi,38.51
Malaysia,59.89
Maldives,38.07
Mali,29.61
Malta,68.32
Martinique,60.41
Mauritania,43.91
Mauritius,58.74
Mayotte,55.09
Mexico,57.34
"Micronesia, Fed. Sts.",56.82
Moldova,62.22
Mongolia,49.2
Montenegro,63.86
Morocco,49.64
Mozambique,38.17
Myanmar,42.25
Namibia,47.07
Nepal,39.8
Netherlands,73.35
Netherlands Antilles,65.6
New Caledonia,56.38
New Zealand,71.28
Nicaragua,50.69
Niger,36.82
Nigeria,40.39
Norway,73.66
Oman,44.64
Pakistan,46.79
Panama,61.62
Papua New Guinea,38.6
Paraguay,66.35
Peru,48.95
Philippines,58.82
Poland,67.92
Portugal,64.23
Puerto Rico,68.58
Qatar,60.82
Reunion,55.73
Romania,65.92
Russia,68.61
Rwanda,43.07
St. Lucia,56.97
St. Vincent and the Grenadines,57.85
Samoa,51.45
Sao Tome and Principe,51.01
Saudi Arabia,47.62
Senegal,38.46
Serbia,63.33
Seychelles,60.42
Sierra Leone,36.07
Singapore,65.02
Slovak Republic,70.42
Slovenia,68.62
Solomon Islands,50.55
Somalia,38.34
South Africa,49.01
Spain,69.23
Sri Lanka,59.76
Sudan,49.54
Suriname,60.58
Swaziland,44.78
Sweden,73.01
Switzerland,71.46
Syria,52.87
Taiwan,64.42
Tajikistan,57.1
Tanzania,45.57
Thailand,55.46
Timor-Leste,37.74
Togo,41.06
Tonga,61.2
Trinidad and Tobago,63.07
Tunisia,43.2
Turkey,46.91
Turkmenistan,54.91
Uganda,45.27
Ukraine,70.88
United Arab Emirates,51.85
United Kingdom,71.02
United States,69.91
Uruguay,67.95
Uzbekistan,59.35
Vanuatu,45.97
Venezuela,60.08
West Bank and Gaza,50.82
Western Sahara,38.37
Vietnam,58.52
Virgin Islands (U.S.),63.75
Yemen,32.64
Zambia,48.34
Zimbabwe,53.11
South Sudan,34.61
